移动频道,#genre#
湖北卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000024621&livemode=1&channel-id=ystenlive
湖南卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000032695&livemode=1&channel-id=ystenlive
江西卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000013731&livemode=1&channel-id=ystenlive
福建卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000009263&livemode=1&channel-id=ystenlive
广西卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000019837&livemode=1&channel-id=ystenlive
海南卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000023773&livemode=1&channel-id=ystenlive
贵州卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000003169&livemode=1&channel-id=ystenlive
云南卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000024694&livemode=1&channel-id=ystenlive
四川卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000016825&livemode=1&channel-id=ystenlive
青海卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000013359&livemode=1&channel-id=ystenlive
甘肃卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000017827&livemode=1&channel-id=ystenlive
宁夏卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000031451&livemode=1&channel-id=ystenlive
西藏卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000015894&livemode=1&channel-id=ystenlive
新疆卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000029441&livemode=1&channel-id=ystenlive
内蒙古卫视HD,http://gslbserv.itv.cmvideo.cn/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000002000014080&livemode=1&channel-id=ystenlive
